CsvFileVersion,11.0[Brief]
ApplicationNameAndVersion,Wave Recorder 1.0.7042 (7042)
SessionStartDateTime,2023-04-05T18:59:56.1069610-07:00
Properties.UserId,d75db12c-d141-4019-8af4-7e516102ed35
Properties.Email,ntfury@arizona.edu
AlgorithmProtocolVersion,DL1.10
EegSignalProcessor.Id,"A1"
MobileDevice.Manufacturer,"Apple"
MobileDevice.Model,"iPhone 12 Pro"
MobileDevice.DeviceType,"Physical"
MobileDevice.VersionString,"16.3.1"

Data Begin: 2023-04-05T18:59:56.1646760-07:00; WAVE-1|94740d5a-283b-5ebf-ebfa-e5684a844f0f; LogicState: Default1
Settings.Version,"4.0"
Time,Seconds,delta%,theta%,alpha%,sigma%,High-beta,SleepStage,EegQuality,Attributes
2023-04-05T19:09:44,588,28%,29%,17%,8%,18%,Awake,0,
2023-04-05T19:09:48,592,10%,19%,10%,11%,51%,Awake,0,
2023-04-05T19:09:52,596,24%,35%,9%,9%,22%,Awake,0,
2023-04-05T19:09:56,600,29%,27%,15%,7%,22%,Awake,0,
2023-04-05T19:10:00,604,12%,19%,12%,8%,49%,Awake,0,
2023-04-05T19:10:04,608,21%,24%,13%,8%,34%,Awake,0,
2023-04-05T19:10:08,612,25%,37%,8%,7%,22%,Awake,0,
2023-04-05T19:10:12,616,10%,20%,13%,10%,47%,Awake,0,
2023-04-05T19:10:16,620,11%,13%,12%,11%,53%,Awake,0,
2023-04-05T19:10:20,623,21%,29%,12%,11%,26%,Awake,0,
2023-04-05T19:10:24,628,14%,25%,14%,11%,36%,Awake,0,
2023-04-05T19:10:28,632,12%,18%,13%,14%,44%,Awake,0,
2023-04-05T19:10:32,636,11%,17%,14%,8%,50%,Awake,0,
2023-04-05T19:10:36,640,9%,20%,12%,11%,48%,Awake,0,
2023-04-05T19:10:40,644,12%,17%,10%,12%,50%,Awake,0,
2023-04-05T19:10:44,648,28%,21%,22%,8%,22%,Awake,0,
2023-04-05T19:10:48,652,31%,15%,12%,10%,31%,Awake,0,
2023-04-05T19:10:52,656,11%,14%,14%,13%,48%,Awake,0,
2023-04-05T19:10:56,660,16%,19%,15%,10%,40%,Awake,0,
2023-04-05T19:11:00,664,11%,19%,16%,10%,45%,Awake,0,
2023-04-05T19:11:04,668,9%,22%,10%,13%,46%,Awake,0,
2023-04-05T19:11:08,672,12%,21%,12%,11%,44%,Awake,0,
2023-04-05T19:11:12,676,7%,16%,13%,9%,54%,Awake,0,
2023-04-05T19:11:16,680,15%,17%,14%,10%,44%,Awake,0,
2023-04-05T19:11:20,684,10%,15%,10%,10%,54%,Awake,0,
2023-04-05T19:11:24,688,26%,34%,11%,6%,22%,Awake,0,
2023-04-05T19:11:28,692,11%,16%,13%,10%,50%,Awake,0,
2023-04-05T19:11:32,696,7%,14%,11%,10%,57%,Awake,0,
2023-04-05T19:11:36,700,14%,15%,13%,12%,46%,Awake,0,
2023-04-05T19:11:40,704,21%,20%,16%,12%,32%,Awake,0,
2023-04-05T19:11:44,708,17%,30%,14%,12%,27%,Awake,0,
2023-04-05T19:11:48,712,16%,16%,13%,7%,47%,Awake,0,
2023-04-05T19:11:52,716,12%,19%,11%,9%,50%,Awake,0,
2023-04-05T19:11:56,720,26%,20%,13%,11%,30%,Awake,0,
2023-04-05T19:12:00,724,10%,16%,11%,10%,53%,Awake,0,
2023-04-05T19:12:04,728,9%,14%,10%,6%,59%,Awake,0,
2023-04-05T19:12:08,732,14%,14%,17%,12%,44%,Awake,0,
2023-04-05T19:12:12,736,12%,17%,11%,11%,49%,Awake,0,
2023-04-05T19:12:16,740,10%,13%,11%,11%,56%,Awake,0,
2023-04-05T19:12:20,743,10%,13%,12%,9%,56%,Awake,0,
2023-04-05T19:12:24,748,9%,13%,13%,9%,56%,Awake,0,
2023-04-05T19:12:28,752,10%,17%,14%,8%,50%,Awake,0,
2023-04-05T19:12:32,755,18%,19%,16%,8%,39%,Awake,0,
2023-04-05T19:12:36,760,16%,18%,12%,9%,45%,Awake,0,
2023-04-05T19:12:40,764,9%,16%,15%,10%,49%,Awake,0,
2023-04-05T19:12:44,768,20%,20%,11%,10%,38%,Awake,0,
2023-04-05T19:12:48,772,33%,18%,11%,8%,29%,Awake,0,
2023-04-05T19:12:52,776,21%,15%,15%,10%,39%,Awake,0,
2023-04-05T19:12:56,780,9%,13%,11%,14%,53%,Awake,0,
2023-04-05T19:13:00,784,21%,18%,20%,13%,29%,Awake,0,
2023-04-05T19:13:04,788,19%,22%,14%,12%,32%,Awake,0,
2023-04-05T19:13:08,792,8%,16%,10%,11%,55%,Awake,0,
2023-04-05T19:13:12,796,7%,12%,10%,13%,57%,Awake,0,
2023-04-05T19:13:16,800,10%,17%,13%,9%,51%,Awake,0,
2023-04-05T19:13:20,803,22%,31%,10%,11%,26%,Awake,0,
2023-04-05T19:13:24,808,12%,22%,11%,7%,47%,Awake,0,
2023-04-05T19:13:28,812,24%,21%,17%,12%,25%,Awake,0,
2023-04-05T19:13:32,815,9%,12%,9%,12%,57%,Awake,0,
2023-04-05T19:13:36,820,5%,17%,13%,9%,56%,Awake,0,
2023-04-05T19:13:40,824,15%,23%,7%,19%,36%,Awake,0,
2023-04-05T19:13:44,828,17%,28%,9%,17%,30%,Awake,0,
2023-04-05T19:13:48,832,18%,21%,14%,10%,37%,Awake,0,
2023-04-05T19:13:52,836,12%,18%,12%,10%,47%,Awake,0,
2023-04-05T19:13:56,840,14%,18%,8%,11%,48%,Awake,0,
2023-04-05T19:14:00,844,13%,16%,11%,10%,50%,Awake,0,
2023-04-05T19:14:04,848,9%,14%,11%,8%,58%,Awake,0,
2023-04-05T19:14:08,852,15%,25%,9%,17%,34%,Awake,0,
2023-04-05T19:14:12,856,8%,12%,8%,9%,63%,Awake,0,
2023-04-05T19:14:16,860,13%,13%,12%,10%,53%,Awake,0,
2023-04-05T19:14:20,864,7%,12%,13%,9%,59%,Awake,0,
2023-04-05T19:14:24,868,9%,13%,12%,9%,56%,Awake,0,
2023-04-05T19:14:28,872,9%,15%,12%,11%,54%,Awake,0,
2023-04-05T19:14:32,876,22%,20%,14%,13%,33%,Awake,0,
2023-04-05T19:14:36,880,15%,16%,17%,10%,41%,Awake,0,
2023-04-05T19:14:40,884,9%,19%,15%,9%,47%,Awake,0,
2023-04-05T19:14:44,887,18%,30%,11%,12%,28%,Awake,0,
2023-04-05T19:14:48,892,9%,16%,12%,8%,55%,Awake,0,
2023-04-05T19:14:52,896,29%,20%,12%,8%,31%,Awake,0,
2023-04-05T19:14:56,899,9%,12%,13%,10%,56%,Awake,0,
2023-04-05T19:15:00,904,9%,12%,10%,13%,56%,Awake,0,
2023-04-05T19:15:04,908,10%,21%,15%,10%,44%,Awake,0,
2023-04-05T19:15:08,911,13%,31%,14%,12%,31%,Awake,0,
2023-04-05T19:15:12,916,19%,17%,11%,10%,43%,Awake,0,
2023-04-05T19:15:16,920,10%,14%,9%,10%,56%,Awake,0,
2023-04-05T19:15:20,923,13%,16%,10%,11%,49%,Awake,0,
2023-04-05T19:15:24,928,10%,18%,11%,8%,53%,Awake,0,
2023-04-05T19:15:28,932,7%,16%,10%,9%,58%,Awake,0,
2023-04-05T19:15:32,935,9%,17%,12%,9%,54%,Awake,0,
2023-04-05T19:15:36,940,10%,15%,9%,10%,56%,Awake,0,
2023-04-05T19:15:40,944,12%,20%,12%,10%,46%,Awake,0,
2023-04-05T19:15:44,947,11%,12%,10%,11%,57%,Awake,0,
2023-04-05T19:15:48,951,7%,19%,8%,9%,57%,Awake,0,
2023-04-05T19:15:52,956,11%,17%,7%,13%,52%,Awake,0,
2023-04-05T19:15:56,960,12%,12%,8%,13%,55%,Awake,0,
2023-04-05T19:16:00,964,8%,18%,10%,9%,56%,Awake,0,
2023-04-05T19:16:04,968,9%,15%,11%,13%,52%,Awake,0,
2023-04-05T19:16:08,971,17%,24%,15%,17%,27%,Awake,0,
2023-04-05T19:16:12,976,28%,15%,11%,7%,39%,Awake,0,
2023-04-05T19:16:16,980,10%,14%,9%,9%,58%,Awake,0,
2023-04-05T19:16:20,984,9%,13%,11%,9%,59%,Awake,0,
2023-04-05T19:16:24,988,20%,14%,12%,13%,40%,Awake,0,
2023-04-05T19:16:28,992,8%,18%,12%,10%,53%,Awake,0,
2023-04-05T19:16:32,996,8%,14%,13%,10%,55%,Awake,0,
2023-04-05T19:16:36,1000,9%,19%,11%,9%,52%,Awake,0,
2023-04-05T19:16:40,1004,10%,15%,8%,11%,57%,Awake,0,
2023-04-05T19:16:44,1008,7%,15%,10%,8%,60%,Awake,0,
2023-04-05T19:16:48,1012,19%,18%,13%,9%,41%,Awake,0,
2023-04-05T19:16:52,1016,8%,15%,10%,10%,58%,Awake,0,
2023-04-05T19:16:56,1020,13%,12%,11%,10%,54%,Awake,0,
2023-04-05T19:17:00,1024,19%,26%,11%,10%,35%,Awake,0,
2023-04-05T19:17:04,1028,11%,14%,8%,11%,56%,Awake,0,
2023-04-05T19:17:08,1032,34%,21%,11%,9%,25%,Awake,0,
2023-04-05T19:17:12,1036,26%,26%,12%,10%,27%,Awake,0,
2023-04-05T19:17:16,1040,11%,18%,14%,8%,49%,Awake,0,
2023-04-05T19:17:20,1044,9%,13%,10%,14%,55%,Awake,0,
2023-04-05T19:17:24,1048,17%,21%,9%,9%,44%,Awake,0,
2023-04-05T19:17:28,1052,13%,21%,7%,16%,43%,Awake,0,
2023-04-05T19:17:32,1056,20%,16%,13%,13%,38%,Awake,0,
2023-04-05T19:17:36,1060,6%,12%,13%,8%,61%,Awake,0,
2023-04-05T19:17:40,1064,7%,13%,9%,9%,61%,Awake,0,
2023-04-05T19:17:44,1067,24%,30%,8%,14%,25%,Awake,0,
2023-04-05T19:17:48,1072,16%,16%,11%,8%,49%,Awake,0,
2023-04-05T19:17:52,1076,7%,11%,11%,11%,59%,Awake,0,
2023-04-05T19:17:56,1079,15%,26%,8%,16%,35%,Awake,0,
2023-04-05T19:18:00,1084,9%,16%,6%,10%,59%,Awake,0,
2023-04-05T19:18:04,1088,9%,11%,12%,6%,61%,Awake,0,
2023-04-05T19:18:08,1091,14%,22%,16%,12%,36%,Awake,0,
2023-04-05T19:18:12,1096,18%,11%,10%,8%,54%,Awake,0,
2023-04-05T19:18:16,1100,8%,10%,13%,10%,58%,Awake,0,
2023-04-05T19:18:20,1103,12%,16%,11%,11%,50%,Awake,0,
2023-04-05T19:18:24,1108,14%,15%,8%,8%,56%,Awake,0,
2023-04-05T19:18:28,1112,12%,15%,9%,9%,55%,Awake,0,
2023-04-05T19:18:32,1115,11%,14%,9%,8%,58%,Awake,0,
2023-04-05T19:18:36,1120,16%,30%,14%,9%,31%,Awake,0,
2023-04-05T19:18:40,1124,19%,18%,11%,9%,42%,Awake,0,
2023-04-05T19:18:44,1127,25%,20%,19%,9%,26%,Awake,0,
2023-04-05T19:18:48,1132,12%,13%,10%,12%,52%,Awake,0,
2023-04-05T19:18:52,1136,6%,12%,12%,7%,63%,Awake,0,
2023-04-05T19:18:56,1139,15%,29%,18%,13%,25%,Awake,0,
2023-04-05T19:19:00,1144,7%,14%,10%,10%,60%,Awake,0,
2023-04-05T19:19:04,1148,9%,11%,12%,12%,56%,Awake,0,
2023-04-05T19:19:08,1152,10%,12%,10%,13%,55%,Awake,0,
2023-04-05T19:19:12,1156,15%,17%,20%,11%,37%,Awake,0,
2023-04-05T19:19:16,1160,7%,15%,11%,7%,59%,Awake,0,
2023-04-05T19:19:20,1164,9%,10%,9%,13%,59%,Awake,0,
2023-04-05T19:19:24,1168,7%,17%,8%,7%,60%,Awake,0,
2023-04-05T19:19:28,1172,11%,14%,9%,9%,57%,Awake,0,
2023-04-05T19:19:32,1176,10%,12%,15%,15%,49%,Awake,0,
2023-04-05T19:19:36,1180,10%,12%,11%,9%,58%,Awake,0,
2023-04-05T19:19:40,1184,9%,14%,11%,9%,58%,Awake,0,
2023-04-05T19:19:44,1188,13%,16%,15%,9%,47%,Awake,0,
2023-04-05T19:19:48,1191,9%,15%,12%,10%,54%,Awake,0,
2023-04-05T19:19:52,1195,9%,13%,11%,11%,57%,Awake,0,
2023-04-05T19:19:56,1200,21%,29%,9%,18%,23%,Awake,0,
2023-04-05T19:20:00,1203,9%,16%,11%,12%,52%,Awake,0,
2023-04-05T19:20:04,1207,10%,12%,9%,12%,56%,Awake,0,
2023-04-05T19:20:08,1212,13%,26%,11%,19%,31%,Awake,0,
2023-04-05T19:20:12,1215,9%,14%,12%,10%,56%,Awake,0,
2023-04-05T19:20:16,1220,8%,12%,12%,7%,61%,Awake,0,
2023-04-05T19:20:20,1224,8%,13%,13%,11%,54%,Awake,0,
2023-04-05T19:20:24,1228,10%,16%,11%,10%,53%,Awake,0,
2023-04-05T19:20:28,1232,11%,11%,11%,8%,58%,Awake,0,
2023-04-05T19:20:32,1236,10%,13%,12%,8%,58%,Awake,0,
2023-04-05T19:20:36,1240,18%,25%,13%,11%,33%,Awake,0,
2023-04-05T19:20:40,1244,7%,17%,9%,8%,59%,Awake,0,
2023-04-05T19:20:44,1248,10%,12%,9%,8%,61%,Awake,0,
2023-04-05T19:20:48,1252,10%,13%,9%,11%,57%,Awake,0,
2023-04-05T19:20:52,1256,11%,16%,13%,8%,52%,Awake,0,
2023-04-05T19:20:56,1260,9%,13%,9%,12%,57%,Awake,0,
2023-04-05T19:21:00,1263,15%,13%,10%,12%,49%,Awake,0,
2023-04-05T19:21:04,1268,29%,11%,15%,10%,35%,Awake,0,
2023-04-05T19:21:08,1272,9%,18%,12%,11%,51%,Awake,0,
2023-04-05T19:21:12,1275,25%,15%,13%,12%,36%,Awake,0,
2023-04-05T19:21:16,1280,11%,16%,11%,7%,55%,Awake,0,
2023-04-05T19:21:20,1284,10%,13%,8%,13%,56%,Awake,0,
2023-04-05T19:21:24,1287,13%,12%,12%,8%,55%,Awake,0,
2023-04-05T19:21:28,1292,13%,21%,25%,12%,30%,Awake,0,
2023-04-05T19:21:32,1296,22%,13%,10%,10%,45%,Awake,0,
2023-04-05T19:21:36,1299,10%,13%,10%,11%,56%,Awake,0,
2023-04-05T19:21:40,1304,33%,17%,15%,13%,22%,Awake,0,
2023-04-05T19:21:44,1308,30%,28%,12%,10%,20%,Awake,0,
2023-04-05T19:21:48,1311,20%,24%,13%,11%,32%,Awake,0,
2023-04-05T19:21:52,1316,14%,15%,10%,11%,50%,Awake,0,
2023-04-05T19:21:56,1320,17%,15%,9%,10%,49%,Awake,0,
2023-04-05T19:22:00,1323,13%,24%,10%,18%,35%,Awake,0,
2023-04-05T19:22:04,1327,10%,19%,10%,7%,55%,Awake,0,
2023-04-05T19:22:08,1332,20%,12%,11%,10%,47%,Awake,0,
2023-04-05T19:22:12,1335,8%,13%,10%,15%,54%,Awake,0,
2023-04-05T19:22:16,1339,30%,29%,11%,9%,21%,Awake,0,
2023-04-05T19:22:20,1344,10%,16%,12%,11%,50%,Awake,0,
2023-04-05T19:22:24,1347,12%,28%,18%,10%,33%,Awake,0,
2023-04-05T19:22:28,1352,13%,20%,18%,14%,36%,Awake,0,
2023-04-05T19:22:32,1356,23%,22%,18%,15%,23%,Awake,0,
2023-04-05T19:22:36,1360,22%,32%,18%,10%,19%,Awake,0,
2023-04-05T19:22:40,1364,9%,16%,13%,14%,48%,Awake,0,
2023-04-05T19:22:44,1368,11%,21%,9%,10%,49%,Awake,0,
2023-04-05T19:22:48,1372,17%,27%,13%,12%,31%,Awake,0,
Data Completed: 2023-04-05T19:22:51.9699140-07:00; Packets read: 704417

SleepSummary.SessionTime,00:22:52
SleepSummary.TotalSleepTime,00:00:00
SleepSummary.SleepEfficiency,0%
SleepSummary.RemSleep,00:00:00
SleepSummary.N1Sleep,00:00:00
SleepSummary.N2Sleep,00:00:00
SleepSummary.N3Sleep,00:00:00
