CsvFileVersion,11.0[Brief]
ApplicationNameAndVersion,Wave Recorder 1.0.7042 (7042)
SessionStartDateTime,2023-04-05T10:51:43.9615640-07:00
Properties.UserId,d75db12c-d141-4019-8af4-7e516102ed35
Properties.Email,ntfury@arizona.edu
AlgorithmProtocolVersion,DL1.10
EegSignalProcessor.Id,"A1"
MobileDevice.Manufacturer,"Apple"
MobileDevice.Model,"iPhone 12 Pro"
MobileDevice.DeviceType,"Physical"
MobileDevice.VersionString,"16.3.1"

Data Begin: 2023-04-05T10:51:44.0316600-07:00; WAVE-1|94740d5a-283b-5ebf-ebfa-e5684a844f0f; LogicState: Default1
Settings.Version,"4.0"
Time,Seconds,delta%,theta%,alpha%,sigma%,High-beta,SleepStage,EegQuality,Attributes
2023-04-05T10:53:36,112,18%,14%,8%,8%,52%,Awake,0,
2023-04-05T10:53:40,116,14%,15%,11%,9%,51%,Awake,0,
2023-04-05T10:53:44,120,11%,14%,8%,9%,58%,Awake,0,
2023-04-05T10:53:48,124,13%,13%,8%,11%,55%,Awake,0,
2023-04-05T10:53:52,128,17%,15%,10%,9%,49%,Awake,0,
2023-04-05T10:53:56,132,32%,27%,11%,8%,21%,Awake,0,
2023-04-05T10:54:00,136,15%,15%,12%,13%,45%,Awake,0,
2023-04-05T10:54:04,140,20%,26%,16%,11%,27%,Awake,0,
2023-04-05T10:54:08,144,25%,18%,13%,11%,33%,Awake,0,
2023-04-05T10:54:12,148,25%,23%,16%,11%,26%,Awake,0,
2023-04-05T10:54:16,152,10%,14%,10%,10%,55%,Awake,0,
2023-04-05T10:54:20,156,11%,18%,15%,16%,40%,Awake,0,
2023-04-05T10:54:24,160,16%,6%,9%,9%,59%,Awake,0,
2023-04-05T10:54:28,164,22%,22%,9%,16%,31%,Awake,0,
2023-04-05T10:54:32,168,27%,16%,9%,8%,39%,Awake,0,
2023-04-05T10:54:36,172,23%,23%,9%,9%,37%,Awake,0,
2023-04-05T10:54:40,176,15%,14%,11%,11%,49%,Awake,0,
2023-04-05T10:54:44,180,14%,15%,10%,12%,49%,Awake,0,
2023-04-05T10:54:48,184,17%,19%,13%,11%,41%,Awake,0,
2023-04-05T10:54:52,188,13%,13%,13%,12%,48%,Awake,0,
2023-04-05T10:54:56,192,24%,16%,7%,7%,47%,Awake,0,
2023-04-05T10:55:00,196,24%,22%,9%,9%,36%,Awake,0,
2023-04-05T10:55:04,200,11%,14%,11%,11%,53%,Awake,0,
2023-04-05T10:55:08,204,14%,17%,10%,10%,49%,Awake,0,
2023-04-05T10:55:12,208,11%,16%,10%,11%,53%,Awake,0,
2023-04-05T10:55:16,212,9%,11%,10%,10%,59%,Awake,0,
2023-04-05T10:55:20,216,16%,22%,7%,11%,43%,Awake,0,
2023-04-05T10:55:24,220,10%,20%,11%,12%,46%,Awake,0,
2023-04-05T10:55:28,224,9%,12%,8%,7%,64%,Awake,0,
2023-04-05T10:55:32,228,8%,15%,9%,10%,58%,Awake,0,
2023-04-05T10:55:36,232,7%,13%,9%,8%,62%,Awake,0,
2023-04-05T10:55:40,236,8%,11%,5%,10%,67%,Awake,0,
2023-04-05T10:55:44,240,23%,21%,15%,8%,34%,Awake,0,
2023-04-05T10:55:48,244,17%,16%,11%,9%,46%,Awake,0,
2023-04-05T10:55:52,248,8%,20%,13%,8%,52%,Awake,0,
2023-04-05T10:55:56,252,10%,20%,9%,7%,54%,Awake,0,
2023-04-05T10:56:00,256,14%,19%,10%,5%,51%,Awake,0,
2023-04-05T10:56:04,260,9%,13%,8%,10%,59%,Awake,0,
2023-04-05T10:56:08,264,19%,22%,14%,7%,39%,Awake,0,
2023-04-05T10:56:12,268,20%,12%,9%,10%,49%,Awake,0,
2023-04-05T10:56:16,272,10%,18%,8%,12%,51%,Awake,0,
2023-04-05T10:56:20,276,8%,17%,14%,10%,51%,Awake,0,
2023-04-05T10:56:24,280,37%,11%,10%,10%,32%,Awake,0,
2023-04-05T10:56:28,284,11%,14%,10%,10%,55%,Awake,0,
2023-04-05T10:56:32,288,8%,11%,8%,8%,65%,Awake,0,
2023-04-05T10:56:36,292,14%,10%,9%,11%,56%,Awake,0,
2023-04-05T10:56:40,296,10%,12%,11%,12%,55%,Awake,0,
2023-04-05T10:56:44,300,7%,8%,12%,12%,60%,Unknown,0,
2023-04-05T10:56:48,304,23%,18%,12%,13%,34%,Unknown,0,
2023-04-05T10:56:52,308,30%,19%,13%,8%,30%,Unknown,0,
2023-04-05T10:56:56,312,27%,15%,6%,15%,37%,Unknown,0,
2023-04-05T10:57:00,316,29%,18%,8%,10%,35%,Unknown,0,
2023-04-05T10:57:04,320,26%,22%,11%,8%,32%,Unknown,0,
2023-04-05T10:57:08,324,20%,20%,14%,13%,32%,Unknown,0,
2023-04-05T10:57:12,328,15%,12%,14%,14%,46%,Unknown,0,
2023-04-05T10:57:16,332,11%,12%,13%,13%,51%,Unknown,0,
2023-04-05T10:57:20,336,22%,14%,14%,12%,38%,Unknown,0,
2023-04-05T10:57:24,340,37%,18%,13%,8%,24%,Unknown,0,
2023-04-05T10:57:28,344,26%,18%,14%,16%,28%,Unknown,0,
2023-04-05T10:57:32,348,31%,14%,10%,12%,32%,Unknown,0,
2023-04-05T10:57:36,352,37%,10%,6%,10%,36%,Unknown,0,
2023-04-05T10:57:40,356,40%,13%,5%,10%,32%,Awake,0,
2023-04-05T10:57:44,360,28%,18%,11%,11%,32%,Awake,0,
2023-04-05T10:57:48,364,34%,9%,13%,7%,37%,Awake,0,
2023-04-05T10:57:52,368,8%,17%,9%,11%,55%,Awake,0,
2023-04-05T10:57:56,372,19%,15%,9%,6%,51%,Awake,0,
2023-04-05T10:58:00,376,19%,8%,9%,8%,56%,Awake,0,
2023-04-05T10:58:04,380,14%,13%,8%,8%,57%,Awake,0,
2023-04-05T10:58:08,384,10%,13%,7%,9%,61%,Awake,0,
2023-04-05T10:58:12,388,11%,12%,10%,8%,59%,Awake,0,
2023-04-05T10:58:16,392,44%,19%,9%,5%,23%,Awake,0,
2023-04-05T10:58:20,396,27%,17%,12%,9%,35%,Awake,0,
2023-04-05T10:58:24,400,12%,13%,15%,11%,49%,Awake,0,
Data Completed: 2023-04-05T10:58:28.0055070-07:00; Packets read: 206810

SleepSummary.SessionTime,00:06:40
SleepSummary.TotalSleepTime,00:00:00
SleepSummary.SleepEfficiency,0%
SleepSummary.RemSleep,00:00:00
SleepSummary.N1Sleep,00:00:00
SleepSummary.N2Sleep,00:00:00
SleepSummary.N3Sleep,00:00:00
